"Qty";"Value";"Device";"Package";"Parts";"Description";"ALTERNATE_PARTNUMBER";"APPLICATION_BUILDNUMBER";"BUILT_BY";"COMPTYPE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MOUNTTYPE";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGEREFERENCE";"PARTNUMBER";"PIN_COUNT";"POPULARITY";"REFDES";"ROHS";"SOURCELIBRARY";"SPICEPREFIX";"TYPE";"VALUE";"VENDOR";
"1";"";"10-XX";"B3F-10XX";"RESET";"OMRON SWITCH";"";"";"";"";"";"";"";"";"B3F-1000";"176432";"36M3542";"";"";"";"72";"";"";"";"";"";"";"";
"1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";"";"";"";"";
"1";"";"MA05-1";"MA05-1";"JOYSTICK_INPUT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"29";"";"";"";"";"";"";"";
"1";"";"PINHD-2X6";"2X06";"SENSOR_CONNECTORS";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";"";"";"";"";
"5";"100n";"C-EU0603-RND";"C0603-ROUND";"C2, C3, C4, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100n";"C2,5-3";"C2.5-3";"C8, C10, C11";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"38";"";"";"";"";"";"";"";
"1";"10K";"R-US_M0805";"M0805";"R10";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"R";"";"";"";
"2";"10n";"C2,5-3";"C2.5-3";"C7, C9";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"38";"";"";"";"";"";"";"";
"1";"16MHz";"RESONATORMU";"RESONATOR";"Y1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"16MHz";"XTAL/S";"QS";"Q1";"CRYSTAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1K";"R-US_0204/7";"0204/7";"R7, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"48";"";"";"";"R";"";"";"";
"3";"1K";"R-US_M0805";"M0805";"R6, R9, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"R";"";"";"";
"1";"1K Ohms";"R-US_0204/7";"0204/7";"R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"48";"";"";"";"R";"";"";"";
"1";"1M";"R-EU_R0603";"R0603-ROUND";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1M";"R-US_0204/7";"0204/7";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"48";"";"";"";"R";"";"";"";
"3";"22p";"C-EU0603-RND";"C0603-ROUND";"C1, C12, C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
